authorization_notice_id,filing_date,patentee,address,LOC
CN305246987S,2019-01,研究所,北京市,01
CN305246988S,2018-05,公司,广西壮族自治区,01
CN305246989S,2018-05,公司,广西壮族自治区,01
CN305246990S,2018-05,公司,广西壮族自治区,01
CN305246991S,2018-10,个人,广东省,02
CN305246992S,2018-10,个人,广东省,02
CN305246993S,2018-10,公司,广东省,02
CN305246994S,2018-10,个人,湖南省,02
CN305246995S,2018-11,个人,广东省,02
CN305246996S,2018-11,个人,广东省,02
CN305246997S,2018-11,个人,广东省,02
CN305246998S,2018-11,个人,广东省,02
CN305246999S,2018-12,个人,浙江省,02
CN305247000S,2018-12,个人,广东省,02
CN305247001S,2018-12,学校,广西壮族自治区,02
CN305247002S,2019-01,个人,广西壮族自治区,02
CN305247003S,2019-01,个人,广东省,02
CN305247004S,2019-01,个人,浙江省,02
CN305247005S,2019-01,个人,浙江省,02
CN305247006S,2019-01,个人,浙江省,02
CN305247007S,2019-02,个人,河南省,02
CN305247008S,2019-04,公司,浙江省,02
CN305247009S,2017-04,学校,福建省,02
CN305247010S,2017-07,学校,江西省,02
CN305247011S,2018-09,个人,江苏省,02
CN305247012S,2018-09,公司,山东省,02
CN305247013S,2018-09,个人,福建省,02
CN305247014S,2018-09,公司,广东省,02
CN305247015S,2018-09,公司,广东省,02
CN305247016S,2018-09,公司,广东省,02
CN305247017S,2018-09,个人,浙江省,02
CN305247018S,2018-10,个人,广东省,02
CN305247019S,2018-11,公司,浙江省,02
CN305247020S,2018-11,学校,江苏省,02
CN305247021S,2018-11,公司,浙江省,02
CN305247022S,2018-11,公司,浙江省,02
CN305247023S,2018-11,公司,浙江省,02
CN305247024S,2018-11,公司,浙江省,02
CN305247025S,2018-11,公司,浙江省,02
CN305247026S,2018-11,公司,浙江省,02
CN305247027S,2018-11,公司,浙江省,02
CN305247028S,2018-11,公司,浙江省,02
CN305247029S,2018-11,公司,浙江省,02
CN305247030S,2018-11,个人,广东省,02
CN305247031S,2018-11,个人,浙江省,02
CN305247032S,2018-11,个人,上海市,02
CN305247033S,2018-12,个人,辽宁省,02
CN305247034S,2018-12,公司,河南省,02
CN305247035S,2018-12,公司,江苏省,02
CN305247036S,2018-12,公司,浙江省,02
CN305247037S,2018-12,公司,浙江省,02
CN305247038S,2018-12,个人,江苏省,02
CN305247039S,2018-12,个人,浙江省,02
CN305247040S,2019-01,个人,辽宁省,02
CN305247041S,2019-03,个人,江苏省,02
CN305247042S,2019-03,个人,江苏省,02
CN305247043S,2019-04,研究所,江苏省,02
CN305247044S,2019-06,研究所,浙江省,02
CN305247045S,2019-06,研究所,浙江省,02
CN305247046S,2019-06,研究所,浙江省,02
CN305247047S,2018-08,公司,广东省,02
CN305247048S,2018-09,公司,山东省,02
CN305247049S,2018-10,个人,浙江省,02
CN305247050S,2018-10,个人,广东省,02
CN305247051S,2018-11,研究所,上海市,02
CN305247052S,2018-11,个人,广东省,02
CN305247053S,2018-11,个人,广东省,02
CN305247054S,2018-12,个人,四川省,02
CN305247055S,2018-12,个人,浙江省,02
CN305247056S,2018-12,个人,江苏省,02
CN305247057S,2018-12,公司,上海市,02
CN305247058S,2018-12,公司,浙江省,02
CN305247059S,2018-12,公司,浙江省,02
CN305247060S,2018-12,公司,浙江省,02
