authorization_notice_id,filing_date,patentee,address,LOC
CN305247061S,2018-12,公司,浙江省,02
CN305247062S,2018-12,公司,浙江省,02
CN305247063S,2018-12,学校,福建省,02
CN305247064S,2018-12,学校,福建省,02
CN305247065S,2019-01,个人,福建省,02
CN305247066S,2019-01,公司,澳大利亚,"['02', '14']"
CN305247067S,2019-01,研究所,广东省,02
CN305247068S,2019-01,研究所,重庆市,02
CN305247069S,2019-04,公司,日本,02
CN305247070S,2019-04,公司,日本,02
CN305247071S,2018-06,公司,德国,02
CN305247072S,2018-06,公司,美国,02
CN305247073S,2018-07,公司,福建省,02
CN305247074S,2018-08,个人,福建省,02
CN305247075S,2018-08,个人,山东省,02
CN305247076S,2018-08,公司,广东省,02
CN305247077S,2018-09,个人,浙江省,02
CN305247078S,2018-09,个人,福建省,02
CN305247079S,2018-09,公司,福建省,02
CN305247080S,2018-09,个人,浙江省,02
CN305247081S,2018-09,党政机关,广东省,02
CN305247082S,2018-09,个人,福建省,02
CN305247083S,2018-09,个人,广东省,02
CN305247084S,2018-09,个人,浙江省,02
CN305247085S,2018-10,个人,福建省,02
CN305247086S,2018-10,个人,安徽省,02
CN305247087S,2018-10,个人,安徽省,02
CN305247088S,2018-10,个人,湖南省,02
CN305247089S,2018-10,个人,福建省,02
CN305247090S,2018-10,个人,河南省,02
CN305247091S,2018-10,个人,浙江省,02
CN305247092S,2018-10,个人,江西省,02
CN305247093S,2018-10,个人,广东省,02
CN305247094S,2018-10,公司,广东省,02
CN305247095S,2018-10,个人,浙江省,02
CN305247096S,2018-10,公司,福建省,02
CN305247097S,2018-10,公司,福建省,02
CN305247098S,2018-10,个人,福建省,02
CN305247099S,2018-11,个人,福建省,02
CN305247100S,2018-11,个人,福建省,02
CN305247101S,2018-11,研究所,福建省,02
CN305247102S,2018-11,个人,福建省,02
CN305247103S,2018-11,个人,安徽省,02
CN305247104S,2018-11,个人,广东省,02
CN305247105S,2018-11,个人,湖北省,02
CN305247106S,2018-11,研究所,北京市,02
CN305247107S,2018-11,公司,福建省,02
CN305247108S,2018-11,公司,福建省,02
CN305247109S,2018-11,个人,河南省,02
CN305247110S,2018-11,公司,广东省,02
CN305247111S,2018-11,个人,福建省,02
CN305247112S,2018-11,个人,福建省,02
CN305247113S,2018-11,公司,浙江省,02
CN305247114S,2018-11,公司,浙江省,02
CN305247115S,2018-11,公司,浙江省,02
CN305247116S,2018-11,公司,浙江省,02
CN305247117S,2018-11,公司,浙江省,02
CN305247118S,2018-11,公司,浙江省,02
CN305247119S,2018-11,个人,安徽省,02
CN305247120S,2018-11,个人,浙江省,02
CN305247121S,2018-11,个人,福建省,02
CN305247122S,2018-11,公司,福建省,02
CN305247123S,2018-11,个人,湖北省,02
CN305247124S,2018-11,公司,浙江省,02
CN305247125S,2018-12,个人,福建省,02
CN305247126S,2018-12,个人,福建省,02
CN305247127S,2018-12,个人,福建省,02
CN305247128S,2018-12,个人,福建省,02
CN305247129S,2018-12,公司,广东省,02
CN305247130S,2018-12,公司,广东省,02
CN305247131S,2018-12,公司,广东省,02
CN305247132S,2018-12,公司,广东省,02
CN305247133S,2018-12,公司,广东省,02
CN305247134S,2018-12,公司,广东省,02
CN305247135S,2018-12,公司,广东省,02
CN305247136S,2018-12,个人,福建省,02
CN305247137S,2018-12,个人,福建省,02
CN305247138S,2018-12,公司,北京市,02
CN305247139S,2018-12,公司,北京市,02
CN305247140S,2018-12,公司,北京市,02
CN305247141S,2018-12,个人,广东省,02
CN305247142S,2018-12,个人,广东省,02
CN305247143S,2018-12,个人,江西省,02
CN305247144S,2018-12,个人,福建省,02
CN305247145S,2018-12,个人,福建省,02
CN305247146S,2018-12,公司,福建省,02
CN305247147S,2018-12,个人,浙江省,02
CN305247148S,2018-12,研究所,浙江省,02
CN305247149S,2018-12,研究所,浙江省,02
CN305247150S,2018-12,个人,浙江省,02
CN305247151S,2018-12,个人,浙江省,02
CN305247152S,2018-12,个人,浙江省,02
CN305247153S,2018-12,个人,浙江省,02
CN305247154S,2018-12,个人,浙江省,02
CN305247155S,2018-12,公司,意大利,02
CN305247156S,2018-12,公司,福建省,02
CN305247157S,2018-12,公司,福建省,02
CN305247158S,2018-12,个人,广东省,02
CN305247159S,2018-12,研究所,北京市,02
CN305247160S,2019-01,公司,法国,02
CN305247161S,2019-01,研究所,北京市,02
CN305247162S,2019-01,个人,福建省,02
CN305247163S,2019-01,公司,福建省,02
CN305247164S,2019-01,个人,山东省,02
CN305247165S,2019-01,公司,上海市,02
CN305247166S,2019-01,个人,广东省,02
CN305247167S,2019-01,公司,广东省,02
CN305247168S,2019-01,公司,福建省,02
CN305247169S,2019-01,公司,福建省,02
CN305247170S,2019-01,公司,福建省,02
CN305247171S,2019-02,个人,福建省,02
CN305247172S,2019-02,公司,福建省,02
CN305247173S,2019-03,个人,浙江省,02
CN305247174S,2019-03,个人,浙江省,02
CN305247175S,2019-03,个人,福建省,02
CN305247176S,2019-03,个人,福建省,02
CN305247177S,2019-03,个人,福建省,02
CN305247178S,2019-03,个人,福建省,02
CN305247179S,2019-03,个人,福建省,02
CN305247180S,2019-03,个人,福建省,02
CN305247181S,2019-03,研究所,山东省,02
CN305247182S,2019-03,个人,福建省,02
CN305247183S,2019-03,个人,福建省,02
CN305247184S,2019-03,个人,福建省,02
CN305247185S,2019-03,个人,福建省,02
CN305247186S,2019-04,研究所,广东省,02
CN305247187S,2019-04,个人,广东省,02
CN305247188S,2019-04,个人,福建省,02
CN305247189S,2019-05,个人,福建省,02
CN305247190S,2019-05,学校,浙江省,02
CN305247191S,2019-05,学校,浙江省,02
CN305247192S,2019-05,学校,浙江省,02
CN305247193S,2019-05,学校,浙江省,02
CN305247194S,2019-05,学校,浙江省,02
CN305247195S,2019-05,学校,浙江省,02
CN305247196S,2018-12,公司,广东省,02
CN305247197S,2019-03,公司,广东省,02
CN305247198S,2018-09,个人,湖北省,02
CN305247199S,2018-10,个人,河北省,02
CN305247200S,2018-12,个人,河南省,02
CN305247201S,2018-12,个人,河南省,02
CN305247202S,2019-01,个人,浙江省,02
CN305247203S,2019-01,个人,浙江省,02
CN305247204S,2019-01,个人,浙江省,02
CN305247205S,2019-01,个人,浙江省,02
CN305247206S,2019-01,个人,浙江省,02
CN305247207S,2019-03,学校,安徽省,02
CN305247208S,2018-09,个人,福建省,02
CN305247209S,2018-09,个人,福建省,02
CN305247210S,2018-09,公司,广东省,02
CN305247211S,2018-10,个人,广西壮族自治区,02
CN305247212S,2018-10,个人,广西壮族自治区,02
CN305247213S,2018-11,个人,浙江省,02
CN305247214S,2018-12,个人,广东省,02
CN305247215S,2019-04,公司,浙江省,02
CN305247216S,2018-06,学校,江苏省,03
CN305247217S,2018-07,公司,浙江省,03
CN305247218S,2018-07,个人,广东省,03
CN305247219S,2018-07,个人,广东省,03
CN305247220S,2018-07,个人,广东省,03
CN305247221S,2018-07,个人,广东省,03
CN305247222S,2018-07,个人,广东省,03
CN305247223S,2018-07,个人,广东省,03
CN305247224S,2018-07,个人,广东省,03
CN305247225S,2018-07,个人,广东省,03
CN305247226S,2018-07,个人,广东省,03
CN305247227S,2018-07,个人,广东省,03
CN305247228S,2018-07,个人,广东省,03
CN305247229S,2018-07,个人,广东省,03
CN305247230S,2018-07,个人,广东省,03
CN305247231S,2018-07,个人,广东省,03
CN305247232S,2018-07,公司,浙江省,03
CN305247233S,2018-07,个人,广东省,03
CN305247234S,2018-07,个人,浙江省,03
CN305247235S,2018-08,个人,湖南省,03
CN305247236S,2018-08,公司,香港特别行政区,03
CN305247237S,2018-08,个人,广东省,03
CN305247238S,2018-08,公司,广东省,03
CN305247239S,2018-08,公司,广东省,03
CN305247240S,2018-08,公司,广东省,03
CN305247241S,2018-08,个人,广东省,03
CN305247242S,2018-08,个人,湖北省,03
CN305247243S,2018-08,公司,江西省,03
CN305247244S,2018-08,公司,江西省,03
CN305247245S,2018-08,个人,湖南省,03
CN305247246S,2018-08,公司,广东省,03
CN305247247S,2018-08,公司,广东省,03
CN305247248S,2018-09,个人,江苏省,03
CN305247249S,2018-09,个人,上海市,03
CN305247250S,2018-09,个人,安徽省,03
CN305247251S,2018-09,公司,香港特别行政区,03
CN305247252S,2018-10,个人,广东省,03
CN305247253S,2018-10,个人,浙江省,03
CN305247254S,2018-10,公司,北京市,03
CN305247255S,2018-10,个人,福建省,03
CN305247256S,2018-10,个人,浙江省,03
CN305247257S,2018-10,个人,广东省,03
CN305247258S,2018-10,个人,湖北省,03
CN305247259S,2018-10,研究所,广东省,03
CN305247260S,2018-10,学校,浙江省,03
CN305247261S,2018-10,个人,浙江省,03
CN305247262S,2018-10,个人,河北省,03
CN305247263S,2018-10,个人,浙江省,03
CN305247264S,2018-10,个人,浙江省,03
CN305247265S,2018-11,个人,浙江省,03
CN305247266S,2018-11,公司,广东省,03
CN305247267S,2018-11,个人,福建省,03
CN305247268S,2018-11,个人,广东省,03
CN305247269S,2018-11,研究所,广东省,03
CN305247270S,2018-11,公司,重庆市,03
CN305247271S,2018-11,公司,福建省,03
CN305247272S,2018-11,个人,浙江省,03
CN305247273S,2018-11,个人,广东省,03
CN305247274S,2018-11,个人,黑龙江省,03
CN305247275S,2018-11,公司,挪威,03
CN305247276S,2018-11,公司,广东省,03
CN305247277S,2018-11,个人,福建省,03
CN305247278S,2018-11,研究所,广东省,03
CN305247279S,2018-11,个人,河北省,03
CN305247280S,2018-11,研究所,广东省,03
CN305247281S,2018-11,个人,河南省,03
CN305247282S,2018-12,研究所,河南省,03
CN305247283S,2018-12,公司,上海市,03
CN305247284S,2018-12,个人,广东省,03
CN305247285S,2018-12,学校,陕西省,03
CN305247286S,2018-12,个人,广东省,03
CN305247287S,2018-12,公司,北京市,03
CN305247288S,2018-12,研究所,广东省,03
CN305247289S,2018-12,公司,北京市,"['03', '13']"
CN305247290S,2018-12,公司,浙江省,03
CN305247291S,2018-12,个人,湖北省,03
CN305247292S,2018-12,公司,法国,03
CN305247293S,2018-12,个人,广东省,03
CN305247294S,2018-12,学校,河北省,03
CN305247295S,2018-12,学校,广西壮族自治区,03
CN305247296S,2018-12,研究所,广东省,03
CN305247297S,2018-12,学校,上海市,03
CN305247298S,2018-12,学校,上海市,03
CN305247299S,2018-12,公司,广东省,03
CN305247300S,2019-01,公司,广东省,03
CN305247301S,2019-01,公司,广东省,03
CN305247302S,2019-01,公司,广东省,03
CN305247303S,2019-01,研究所,广东省,03
CN305247304S,2019-01,个人,广东省,03
CN305247305S,2019-01,学校,广西壮族自治区,03
CN305247306S,2019-01,个人,浙江省,03
CN305247307S,2019-01,个人,广东省,03
CN305247308S,2019-01,个人,广东省,03
CN305247309S,2019-01,学校,广西壮族自治区,03
CN305247310S,2019-01,学校,广西壮族自治区,03
CN305247311S,2019-01,个人,福建省,03
CN305247312S,2019-01,个人,福建省,03
CN305247313S,2019-01,个人,福建省,03
CN305247314S,2019-01,个人,福建省,03
CN305247315S,2019-01,个人,福建省,03
CN305247316S,2019-01,个人,福建省,03
CN305247317S,2019-01,个人,福建省,03
CN305247318S,2019-01,个人,福建省,03
CN305247319S,2019-01,个人,福建省,03
CN305247320S,2019-01,个人,浙江省,03
CN305247321S,2019-02,公司,山东省,03
CN305247322S,2019-02,公司,福建省,03
CN305247323S,2019-02,研究所,广东省,03
CN305247324S,2019-02,公司,江西省,03
CN305247325S,2019-02,公司,江西省,03
CN305247326S,2019-02,个人,广东省,03
CN305247327S,2019-02,个人,广东省,03
CN305247328S,2019-03,个人,福建省,03
CN305247329S,2019-03,个人,山东省,03
CN305247330S,2019-03,学校,甘肃省,03
CN305247331S,2019-03,个人,广东省,03
CN305247332S,2019-03,个人,广东省,03
CN305247333S,2019-03,个人,浙江省,03
CN305247334S,2019-03,个人,浙江省,03
CN305247335S,2019-04,个人,法国,03
CN305247336S,2019-04,学校,河北省,03
CN305247337S,2019-04,个人,广东省,03
CN305247338S,2019-04,个人,广东省,03
CN305247339S,2019-06,公司,广东省,03
CN305247340S,2019-06,公司,广东省,03
CN305247341S,2019-06,公司,广东省,03
CN305247342S,2019-06,公司,广东省,03
CN305247343S,2019-06,公司,广东省,03
CN305247344S,2019-06,公司,广东省,03
CN305247345S,2019-06,公司,广东省,03
CN305247346S,2019-06,公司,广东省,03
CN305247347S,2019-06,公司,广东省,03
CN305247348S,2019-06,公司,广东省,03
CN305247349S,2019-06,公司,广东省,03
CN305247350S,2019-06,公司,广东省,03
CN305247351S,2019-06,公司,广东省,03
CN305247352S,2019-06,公司,广东省,03
CN305247353S,2019-06,公司,河南省,03
CN305247354S,2019-06,公司,广东省,03
CN305247355S,2018-12,公司,北京市,03
CN305247356S,2019-01,学校,陕西省,03
CN305247357S,2018-09,公司,瑞士,03
CN305247358S,2018-12,个人,河北省,03
CN305247359S,2018-12,个人,河北省,03
CN305247360S,2018-08,公司,浙江省,04
CN305247361S,2018-08,公司,浙江省,04
CN305247362S,2018-09,研究所,广东省,04
CN305247363S,2018-11,个人,浙江省,04
CN305247364S,2018-12,公司,浙江省,04
CN305247365S,2018-12,个人,浙江省,04
CN305247366S,2019-04,公司,浙江省,04
CN305247367S,2018-08,公司,江苏省,04
CN305247368S,2018-08,个人,江西省,04
CN305247369S,2018-10,公司,浙江省,04
CN305247370S,2018-11,公司,浙江省,04
CN305247371S,2018-11,研究所,湖南省,04
CN305247372S,2018-12,学校,黑龙江省,04
CN305247373S,2018-12,公司,广东省,04
CN305247374S,2019-01,公司,广东省,04
CN305247375S,2019-01,公司,广东省,04
CN305247376S,2019-01,公司,广东省,04
CN305247377S,2018-08,个人,山西省,04
CN305247378S,2018-09,个人,广东省,05
CN305247379S,2018-11,个人,广东省,05
CN305247380S,2018-05,公司,上海市,05
CN305247381S,2018-08,公司,瑞士,05
CN305247382S,2018-08,公司,瑞士,05
CN305247383S,2018-08,公司,瑞士,05
CN305247384S,2018-08,公司,福建省,05
CN305247385S,2018-10,公司,辽宁省,05
CN305247386S,2018-10,公司,辽宁省,05
CN305247387S,2018-12,公司,安徽省,05
CN305247388S,2019-03,公司,浙江省,05
CN305247389S,2019-03,公司,浙江省,05
CN305247390S,2019-03,公司,浙江省,05
CN305247391S,2019-03,公司,浙江省,05
CN305247392S,2019-06,研究所,江苏省,05
CN305247393S,2019-06,研究所,江苏省,05
CN305247394S,2019-06,研究所,江苏省,05
CN305247395S,2018-10,个人,广东省,05
CN305247396S,2018-11,个人,湖南省,05
CN305247397S,2018-11,公司,广东省,05
CN305247398S,2018-11,公司,广东省,05
CN305247399S,2018-12,公司,浙江省,05
CN305247400S,2019-03,公司,广东省,05
CN305247401S,2019-03,公司,广东省,05
CN305247402S,2019-03,公司,广东省,05
CN305247403S,2019-03,公司,广东省,05
CN305247404S,2019-03,公司,广东省,05
CN305247405S,2019-03,公司,广东省,05
CN305247406S,2018-06,个人,湖北省,06
CN305247407S,2018-07,个人,重庆市,06
CN305247408S,2018-08,个人,四川省,06
CN305247409S,2018-08,个人,四川省,06
CN305247410S,2018-08,个人,四川省,06
CN305247411S,2018-08,研究所,贵州省,06
CN305247412S,2018-08,个人,山东省,06
CN305247413S,2018-08,公司,浙江省,06
CN305247414S,2018-08,公司,浙江省,06
CN305247415S,2018-08,个人,江西省,06
CN305247416S,2018-08,公司,江苏省,06
CN305247417S,2018-08,公司,江苏省,06
CN305247418S,2018-08,公司,江苏省,06
CN305247419S,2018-08,个人,广东省,06
CN305247420S,2018-09,公司,浙江省,06
CN305247421S,2018-09,公司,浙江省,06
CN305247422S,2018-09,公司,浙江省,06
CN305247423S,2018-09,公司,浙江省,06
CN305247424S,2018-09,公司,浙江省,06
CN305247425S,2018-09,公司,浙江省,06
CN305247426S,2018-09,公司,浙江省,06
CN305247427S,2018-09,个人,北京市,06
CN305247428S,2018-09,个人,江西省,06
CN305247429S,2018-09,个人,江西省,06
CN305247430S,2018-09,公司,浙江省,06
CN305247431S,2018-09,公司,广东省,06
CN305247432S,2018-09,个人,湖北省,06
CN305247433S,2018-09,公司,浙江省,06
CN305247434S,2018-09,公司,浙江省,06
CN305247435S,2018-09,公司,浙江省,06
CN305247436S,2018-10,研究所,上海市,06
CN305247437S,2018-10,个人,陕西省,06
CN305247438S,2018-10,个人,陕西省,06
CN305247439S,2018-10,个人,陕西省,06
CN305247440S,2018-10,个人,陕西省,06
CN305247441S,2018-10,个人,陕西省,06
CN305247442S,2018-10,个人,陕西省,06
CN305247443S,2018-10,个人,陕西省,06
CN305247444S,2018-10,公司,广东省,06
CN305247445S,2018-10,个人,浙江省,06
CN305247446S,2018-10,个人,浙江省,06
CN305247447S,2018-10,个人,浙江省,06
CN305247448S,2018-10,个人,四川省,06
CN305247449S,2018-10,个人,陕西省,06
CN305247450S,2018-10,公司,浙江省,06
CN305247451S,2018-10,个人,陕西省,06
CN305247452S,2018-10,公司,广东省,06
CN305247453S,2018-10,公司,广东省,06
CN305247454S,2018-10,公司,广东省,06
CN305247455S,2018-10,个人,浙江省,06
CN305247456S,2018-10,个人,浙江省,06
CN305247457S,2018-10,个人,四川省,06
CN305247458S,2018-10,个人,陕西省,06
CN305247459S,2018-10,个人,陕西省,06
CN305247460S,2018-10,个人,陕西省,06
CN305247461S,2018-10,个人,陕西省,06
CN305247462S,2018-10,个人,陕西省,06
CN305247463S,2018-10,个人,陕西省,06
CN305247464S,2018-10,个人,陕西省,06
CN305247465S,2018-10,个人,陕西省,06
CN305247466S,2018-10,个人,广东省,06
CN305247467S,2018-10,个人,广东省,06
CN305247468S,2018-11,个人,广东省,06
CN305247469S,2018-11,研究所,四川省,06
CN305247470S,2018-11,个人,陕西省,06
CN305247471S,2018-11,个人,海南省,06
CN305247472S,2018-11,公司,四川省,06
CN305247473S,2018-11,学校,江苏省,06
CN305247474S,2018-11,个人,陕西省,06
CN305247475S,2018-11,个人,山东省,06
CN305247476S,2018-11,个人,山东省,06
CN305247477S,2018-11,个人,山东省,06
CN305247478S,2018-11,个人,江西省,06
CN305247479S,2018-11,个人,广东省,06
CN305247480S,2018-11,个人,广东省,06
CN305247481S,2018-11,个人,浙江省,06
CN305247482S,2018-11,公司,河南省,06
CN305247483S,2018-11,学校,陕西省,06
CN305247484S,2018-11,公司,北京市,06
CN305247485S,2018-11,个人,四川省,06
CN305247486S,2018-11,个人,广西壮族自治区,06
CN305247487S,2018-12,公司,江苏省,06
CN305247488S,2018-12,个人,广东省,06
CN305247489S,2018-12,个人,河北省,06
CN305247490S,2018-12,公司,浙江省,06
CN305247491S,2018-12,个人,陕西省,06
CN305247492S,2018-12,个人,陕西省,06
CN305247493S,2018-12,个人,陕西省,06
CN305247494S,2018-12,个人,陕西省,06
CN305247495S,2018-12,个人,陕西省,06
CN305247496S,2018-12,个人,陕西省,06
CN305247497S,2018-12,公司,山东省,06
CN305247498S,2018-12,个人,福建省,06
CN305247499S,2018-12,学校,广东省,06
CN305247500S,2018-12,公司,山东省,06
CN305247501S,2018-12,学校,广东省,06
CN305247502S,2018-12,公司,山东省,06
CN305247503S,2018-12,学校,广东省,06
CN305247504S,2018-12,公司,江苏省,06
CN305247505S,2018-12,公司,浙江省,06
CN305247506S,2018-12,公司,浙江省,06
CN305247507S,2018-12,公司,浙江省,06
CN305247508S,2018-12,个人,福建省,06
CN305247509S,2018-12,学校,陕西省,06
CN305247510S,2018-12,个人,广东省,06
CN305247511S,2018-12,个人,江西省,06
CN305247512S,2018-12,公司,上海市,06
CN305247513S,2018-12,公司,上海市,06
CN305247514S,2018-12,公司,北京市,06
CN305247515S,2018-12,个人,江西省,06
CN305247516S,2018-12,个人,江西省,06
CN305247517S,2018-12,个人,福建省,06
CN305247518S,2018-12,个人,福建省,06
CN305247519S,2018-12,个人,福建省,06
CN305247520S,2018-12,个人,广东省,06
CN305247521S,2018-12,个人,陕西省,06
CN305247522S,2018-12,个人,陕西省,06
CN305247523S,2018-12,公司,上海市,06
CN305247524S,2018-12,公司,浙江省,06
CN305247525S,2018-12,公司,上海市,06
CN305247526S,2018-12,公司,福建省,06
CN305247527S,2018-12,学校,山东省,06
CN305247528S,2018-12,公司,上海市,06
CN305247529S,2018-12,公司,福建省,06
CN305247530S,2018-12,公司,上海市,06
CN305247531S,2018-12,公司,上海市,06
CN305247532S,2018-12,学校,安徽省,06
CN305247533S,2018-12,公司,上海市,06
CN305247534S,2018-12,公司,上海市,06
CN305247535S,2019-01,公司,北京市,06
CN305247536S,2019-01,公司,北京市,06
CN305247537S,2019-01,研究所,四川省,06
CN305247538S,2019-01,公司,广东省,06
CN305247539S,2019-01,个人,福建省,06
CN305247540S,2019-01,公司,广东省,06
CN305247541S,2019-01,公司,浙江省,06
CN305247542S,2019-01,研究所,广东省,06
CN305247543S,2019-01,个人,四川省,06
CN305247544S,2019-01,个人,陕西省,06
CN305247545S,2019-01,个人,江西省,06
CN305247546S,2019-01,公司,浙江省,06
CN305247547S,2019-01,个人,广东省,06
CN305247548S,2019-01,个人,广东省,06
CN305247549S,2019-01,个人,广东省,06
CN305247550S,2019-01,个人,广东省,06
CN305247551S,2019-01,个人,广东省,06
CN305247552S,2019-01,个人,广东省,06
CN305247553S,2019-01,个人,广东省,06
CN305247554S,2019-01,个人,广东省,06
CN305247555S,2019-01,个人,广东省,06
CN305247556S,2019-01,个人,广东省,06
CN305247557S,2019-01,个人,广东省,06
CN305247558S,2019-01,个人,广东省,06
CN305247559S,2019-01,个人,浙江省,06
CN305247560S,2019-01,学校,安徽省,06
CN305247561S,2019-01,公司,广东省,06
CN305247562S,2019-01,公司,浙江省,06
CN305247563S,2019-01,个人,新加坡,06
CN305247564S,2019-01,个人,广东省,06
CN305247565S,2019-01,个人,广东省,06
CN305247566S,2019-01,公司,江苏省,06
CN305247567S,2019-01,公司,江苏省,06
CN305247568S,2019-01,公司,德国,06
CN305247569S,2019-01,公司,江苏省,06
CN305247570S,2019-01,公司,江苏省,06
CN305247571S,2019-01,公司,江苏省,06
CN305247572S,2019-01,个人,广东省,06
CN305247573S,2019-01,个人,广东省,06
CN305247574S,2019-01,个人,广东省,06
CN305247575S,2019-01,个人,广东省,06
CN305247576S,2019-01,公司,新西兰,06
CN305247577S,2019-01,公司,浙江省,06
CN305247578S,2019-02,个人,江西省,06
CN305247579S,2019-02,个人,江西省,06
CN305247580S,2019-02,个人,广东省,06
CN305247581S,2019-02,个人,广东省,06
CN305247582S,2019-02,个人,广东省,06
CN305247583S,2019-02,个人,广东省,06
CN305247584S,2019-02,个人,广东省,06
CN305247585S,2019-02,个人,广东省,06
CN305247586S,2019-02,个人,广东省,06
CN305247587S,2019-02,个人,广东省,06
CN305247588S,2019-02,个人,广东省,06
CN305247589S,2019-02,个人,广东省,06
CN305247590S,2019-02,个人,广东省,06
CN305247591S,2019-02,个人,广东省,06
CN305247592S,2019-02,个人,广东省,06
CN305247593S,2019-02,个人,广东省,06
CN305247594S,2019-02,个人,广东省,06
CN305247595S,2019-02,公司,浙江省,06
CN305247596S,2019-02,公司,浙江省,06
CN305247597S,2019-02,公司,浙江省,06
CN305247598S,2019-02,公司,浙江省,06
CN305247599S,2019-02,个人,广东省,06
CN305247600S,2019-02,个人,四川省,06
CN305247601S,2019-02,公司,瑞士,06
CN305247602S,2019-02,研究所,上海市,06
CN305247603S,2019-03,个人,安徽省,06
CN305247604S,2019-03,个人,四川省,06
CN305247605S,2019-03,个人,四川省,06
CN305247606S,2019-03,个人,广西壮族自治区,06
CN305247607S,2019-03,个人,湖南省,06
CN305247608S,2019-03,个人,湖南省,06
CN305247609S,2019-03,个人,四川省,06
CN305247610S,2019-03,个人,四川省,06
CN305247611S,2019-03,个人,福建省,06
CN305247612S,2019-03,个人,江西省,06
CN305247613S,2019-03,个人,湖南省,06
CN305247614S,2019-03,学校,黑龙江省,06
CN305247615S,2019-03,个人,四川省,06
CN305247616S,2019-04,公司,河北省,06
CN305247617S,2019-04,个人,江西省,06
CN305247618S,2019-04,个人,福建省,06
CN305247619S,2019-04,个人,广东省,06
CN305247620S,2019-04,公司,浙江省,06
CN305247621S,2019-04,个人,浙江省,06
CN305247622S,2019-04,个人,浙江省,06
CN305247623S,2019-04,个人,浙江省,06
CN305247624S,2019-04,个人,浙江省,06
CN305247625S,2019-04,个人,浙江省,06
CN305247626S,2019-04,个人,浙江省,06
CN305247627S,2019-04,个人,浙江省,06
CN305247628S,2019-05,个人,福建省,06
CN305247629S,2019-05,公司,广东省,06
CN305247630S,2019-05,公司,广东省,06
CN305247631S,2019-05,公司,广东省,06
CN305247632S,2019-06,公司,广东省,06
