authorization_notice_id,filing_date,patentee,address,IPC
CN102307917B,2009-12,公司,美国,C
CN102804797B,2009-10,公司,美国,H
CN102886550B,2012-07,公司,印度,B
CN102900398B,2012-07,公司,英国,E
CN102915400B,2012-08,公司,德国,G
CN103123661B,2013-03,公司,山东省,G
CN103221070B,2011-08,学校,美国,A
CN103327003B,2013-03,公司,德国,H
CN103415860B,2011-01,公司,美国,G
CN103423685B,2013-05,公司,美国,F
CN103425031B,2013-05,公司,韩国,G
CN103434589B,2013-08,学校,浙江省,B
CN103517699B,2011-07,研究所,瑞士,A
CN103571892B,2013-07,公司,德国,C
CN103581351B,2012-07,研究所,广东省,H
CN103595575B,2012-08,研究所,上海市,H
CN103607536B,2013-10,研究所,北京市,"['H', 'G']"
CN103702249B,2012-09,研究所,上海市,H
CN103743397B,2013-12,研究所,北京市,G
CN103743398B,2013-12,研究所,北京市,G
CN103764111B,2012-09,公司,法国,A
CN103773687B,2012-10,公司,北京市,C
CN103824647B,2009-11,公司,日本,H
CN103840884B,2014-03,研究所,上海市,H
CN103857400B,2012-08,学校,香港特别行政区,A
CN103887532B,2013-12,研究所,美国,H
CN103902640B,2013-12,公司,台湾省,G
CN103912601B,2013-07,公司,韩国,F
CN103914293B,2013-01,研究所,北京市,G
CN103919573B,2014-01,公司,韩国,A
CN103922611B,2006-05,公司,法国,"['C', 'F']"
CN103923573B,2014-01,公司,日本,C
CN103925657B,2014-04,个人,安徽省,F
CN103945468B,2010-04,公司,日本,H
CN103972637B,2014-01,公司,韩国,H
CN103985228B,2014-01,公司,美国,"['G', 'H']"
CN104010135B,2014-02,公司,韩国,H
CN104011320B,2012-12,公司,美国,E
CN104012759B,2014-05,个人,江苏省,A
CN104021203B,2014-06,研究所,北京市,G
CN104133314B,2010-04,研究所,日本,G
CN104136012B,2013-02,公司,德国,A
CN104143358B,2014-05,公司,韩国,G
CN104143550B,2014-04,公司,日本,H
CN104144128B,2013-05,公司,广东省,H
CN104151666B,2008-07,研究所,美国,C
CN104152473B,2014-08,研究所,河南省,C
CN104167590B,2013-05,公司,广东省,H
CN104167824B,2014-05,公司,日本,H
CN104177586B,2014-05,研究所,美国,C
CN104181160B,2014-08,学校,江苏省,G
CN104185266B,2013-05,公司,广东省,H
CN104208781B,2013-05,公司,北京市,A
CN104213763B,2014-08,研究所,内蒙古自治区,E
CN104213764B,2014-08,研究所,内蒙古自治区,E
CN104214265B,2014-06,公司,瑞典,F
CN104218066B,2014-05,公司,韩国,"['H', 'G']"
CN104233203B,2014-06,公司,日本,C
CN104241323B,2014-05,公司,韩国,H
CN104241818B,2013-06,公司,广东省,H
CN104241871B,2013-06,公司,广东省,H
CN104241872B,2013-06,公司,广东省,H
CN104242660B,2014-06,公司,日本,H
CN104243856B,2014-06,公司,日本,H
CN104263720B,2014-09,学校,北京市,C
CN104279622B,2013-07,研究所,山东省,F
CN104279623B,2013-07,研究所,山东省,F
CN104283046B,2014-07,公司,法国,H
CN104283067B,2014-07,个人,台湾省,H
CN104284064B,2014-07,公司,韩国,H
CN104285485B,2013-05,公司,美国,H
CN104299618B,2009-07,学校,韩国,G
CN104301947B,2013-07,公司,广东省,H
CN104321445B,2013-06,公司,意大利,C
CN104340141B,2014-07,研究所,美国,B
CN104341778B,2014-07,公司,日本,C
CN104347768B,2014-07,公司,日本,H
