authorization_notice_id,filing_date,patentee,address,IPC
CN209078969U,2016-08,研究所,浙江省,B
CN209075440U,2017-07,研究所,湖北省,A
CN209074415U,2016-11,个人,以色列,A
CN209073638U,2016-01,研究所,广东省,A
CN209075416U,2017-05,研究所,浙江省,A
CN209075586U,2017-07,个人,贵州省,"['A', 'B']"
CN209074940U,2017-08,研究所,广东省,A
CN209075635U,2017-07,学校,上海市,A
CN209074584U,2017-08,研究所,天津市,A
CN209075441U,2017-08,研究所,上海市,A
CN209074068U,2017-12,研究所,陕西省,A
CN209075442U,2017-08,研究所,上海市,A
CN209075290U,2017-12,党政机关,河北省,A
CN209074706U,2017-08,医院,湖南省,A
CN209074013U,2017-09,公司,浙江省,A
CN209074017U,2017-09,公司,广东省,A
CN209075850U,2017-09,公司,日本,A
CN209075443U,2017-09,研究所,广东省,A
CN209075431U,2017-10,医院,陕西省,A
CN209074570U,2017-11,研究所,上海市,A
CN209074955U,2017-10,研究所,广东省,A
CN209074613U,2017-10,学校,贵州省,A
CN209073821U,2017-10,个人,湖南省,A
CN209073977U,2017-10,学校,江西省,A
CN209074109U,2017-11,公司,江苏省,A
CN209074127U,2017-11,研究所,广东省,A
CN209075672U,2017-11,个人,山东省,A
CN209074426U,2017-11,研究所,广东省,A
CN209075596U,2017-11,个人,吉林省,A
CN209073379U,2017-11,公司,新疆维吾尔自治区,A
CN209074541U,2017-11,个人,江西省,A
CN209075417U,2017-11,研究所,广东省,A
CN209074579U,2017-11,个人,辽宁省,A
CN209073758U,2017-12,个人,陕西省,A
CN209073409U,2017-11,公司,江西省,A
CN209074292U,2017-11,公司,浙江省,A
CN209075392U,2017-11,个人,河南省,A
CN209074023U,2017-11,公司,重庆市,A
CN209073997U,2017-11,学校,浙江省,A
CN209075496U,2017-11,公司,江西省,A
CN209074551U,2017-12,个人,湖北省,A
CN209074749U,2017-12,学校,广东省,A
CN209087215U,2017-12,公司,广东省,G
CN209073739U,2017-12,学校,广东省,A
CN209074832U,2017-12,学校,北京市,A
CN209073726U,2017-12,公司,湖北省,A
CN209082127U,2017-12,研究所,江苏省,D
